"WBIC","lakeChar_Area","lakeChar_Length","lakeChar_MaxDepth","lakeChar_MeanDepth","fishCommunity_Panfish","fishCommunity_Catfish","fishCommunity_Largemouth.Bass","fishCommunity_Musky","fishCommunity_Northern.Pike","fishCommunity_Rainbow.Smelt","fishCommunity_Smallmouth.Bass","fishCommunity_Sturgeon","fishCommunity_Trout","fishCommunity_Walleye","fishCommunity_Cisco","fishingPressure_Landlock","fishingPressure_publicaccess","fishingPressure_accessscore","fishingPressure_mroad_dist","fishingPressure_Road_dist","lakeOrder","riparian_Developed","riparian_Barren","riparian_Forest","riparian_Shrub.Scrub","riparian_Grassland","riparian_Pasture.hay","riparian_CultivatedCrops","riparian_Wetlands","waterQuality_Secchi_satellite","waterQuality_Secchi","waterQuality_Calcium","waterQuality_Conductance","waterQuality_Alkalinity","waterQuality_pH","waterQuality_totalP","waterQuality_Color","waterQuality_Dissolved.OC","waterQuality_MEI","watershed_HUC10","watershed_Developed","watershed_Barren","watershed_Forest","watershed_Shrub.Scrub","watershed_Grassland","watershed_Pasture.hay","watershed_Cultivated","watershed_Wetlands"
88,20010645.95,47158.33991,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.501817301,0.039253695,0.167191665,0.007026896,0.01720378,0.167676278,0.023746063,0.076084323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,4322657.583,15090.85243,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435.909358,0,-1,0.223503965,0.090843547,0.043258832,0.056236482,0.038211968,0.330209084,0.046142754,0.171593367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,69004.14386,2192.821127,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,169.452665,5.252801,-3,0.868932039,0,0.029126214,0,0.101941748,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404000204,0.542090913,0.002856486,0.065573486,0.004824385,0.037723827,0.04020754,0.285358231,0.021365132
200,25226.59873,1332.368479,1.8,1.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,232.460633,16.597716,-3,1,0,0,0,0,0,0,0,0.341224916,1,NA,999,190,8.8,NA,4,NA,832.5,404000304,0.692878231,0.000289493,0.060713599,0.004157714,0.010988243,0.046194045,0.130366533,0.054412143
300,13048.03522,409.475672,10.8,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,436.053808,29.049121,-3,0.271604938,0,0.419753086,0,0,0.074074074,0.061728395,0.172839506,NA,2,NA,381,181,7.4,NA,4,NA,NA,404000203,0.460621308,0.002574013,0.097920949,0.006804071,0.020160896,0.073926811,0.279122984,0.058868969
350,10086.7228,380.963854,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,81.464565,88.29733,-3,0.886363636,0,0,0,0.113636364,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404000204,0.542090913,0.002856486,0.065573486,0.004824385,0.037723827,0.04020754,0.285358231,0.021365132
400,71657.91117,1128.755652,19.2,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,47.473413,26.83999,4,0.709219858,0,0.028368794,0,0,0,0,0.262411348,2.642648608,4.8,NA,820,180,7.8,NA,3,NA,NA,404000203,0.460621308,0.002574013,0.097920949,0.006804071,0.020160896,0.073926811,0.279122984,0.058868969
1800,29324.73136,1532.991712,1.5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.603974,78.656706,3,0.502242152,0,0.215246637,0,0.282511211,0,0,0,NA,NA,NA,497,NA,NA,NA,NA,NA,NA,404000204,0.542090913,0.002856486,0.065573486,0.004824385,0.037723827,0.04020754,0.285358231,0.021365132
5200,115017.4492,1652.360086,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.604747,69.327282,1,0.072916667,0,0.21875,0,0,0.078125,0.442708333,0.1875,NA,1,NA,823,149,7.5,NA,5,NA,NA,404000203,0.460621308,0.002574013,0.097920949,0.006804071,0.020160896,0.073926811,0.279122984,0.058868969
5500,14966.6546,546.540568,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.190035,95.864349,-3,0.102564103,0,0.487179487,0.128205128,0,0,0.102564103,0.179487179,NA,1,NA,999,209,8.4,NA,2,NA,NA,404000203,0.460621308,0.002574013,0.097920949,0.006804071,0.020160896,0.073926811,0.279122984,0.058868969
5700,27928.83088,788.112964,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,239.163092,241.579925,3,0,0,0.153846154,0,0,0,0.017094017,0.829059829,NA,1,NA,999,214,8.3,NA,4,NA,NA,404000203,0.460621308,0.002574013,0.097920949,0.006804071,0.020160896,0.073926811,0.279122984,0.058868969
