"WBIC","species","surveyYear","county","meanEF_CPEkm","totalFishCaught","totalDistShockedKm","totalHoursSampled","std","N"
93100,"YELLOW PERCH",2008,"DOOR",5.84711745187468,32,2.1126614,1.817,NA,1
95700,"BLACK CRAPPIE",2008,"DOOR",6.1080940012676,23,1.45400814,1.5,NA,1
95700,"BLACK CRAPPIE",2016,"DOOR",2.46684976449973,9,1.41051217,1.533,NA,1
95700,"BLUEGILL",2008,"DOOR",5.04554662159643,19,1.45400814,1.5,NA,1
95700,"BLUEGILL",2016,"DOOR",1.36702002062958,5,1.41051217,1.533,NA,1
95700,"YELLOW PERCH",2008,"DOOR",2.65326158549467,10,1.45400814,1.5,NA,1
95700,"YELLOW PERCH",2016,"DOOR",10.1283756073919,37,1.41051217,1.533,NA,1
97700,"BLUEGILL",2005,"DOOR",0.497098189319845,5,4.27503248,4.167,0.474527025787883,2
97700,"BLUEGILL",2009,"DOOR",0.801570830278251,4,1.9262501,1.55,NA,1
97700,"BLUEGILL",2013,"DOOR",3.09443622851604,13,1.62177831,2.05,NA,1
97700,"YELLOW PERCH",2005,"DOOR",4.39931897548063,64,6.12671806,5.784,4.04072436735891,3
97700,"YELLOW PERCH",2009,"DOOR",1.40430238482856,7,1.9262501,1.55,NA,1
97700,"YELLOW PERCH",2013,"DOOR",13.5707805684318,57,1.62177831,2.05,NA,1
98600,"BLUEGILL",2004,"DOOR",1.621782842656,46,10.9361296,11.45,NA,1
98600,"YELLOW PERCH",2004,"DOOR",0.776715920812258,22,10.9361296,11.45,NA,1
98600,"YELLOW PERCH",2012,"DOOR",1.32352392906409,7,2.043689219,1.667,NA,1
181400,"BLACK CRAPPIE",2014,"FOREST",0.242335367293425,1,1.60935089,0.967,NA,1
181400,"BLUEGILL",2014,"FOREST",24.9481153764897,104,1.60935089,0.967,NA,1
182000,"BLACK CRAPPIE",2015,"SHAWANO",2.61597922129569,4,0.59030245,0.567,NA,1
182000,"BLUEGILL",2015,"SHAWANO",54.9417773745759,84,0.59030245,0.567,NA,1
182000,"YELLOW PERCH",2015,"SHAWANO",5.88439981607367,9,0.59030245,0.567,NA,1
182200,"BLACK CRAPPIE",2014,"LANGLADE",0.3231138230579,2,2.41091948,1.867,NA,1
182200,"BLUEGILL",2014,"LANGLADE",22.1022282426336,138,2.41091948,1.867,NA,1
182200,"YELLOW PERCH",2014,"LANGLADE",0.640013918749301,4,2.41091948,1.867,NA,1
184200,"BLUEGILL",2014,"LANGLADE",1.99460648464588,11,2.13130253,1.717,NA,1
184200,"YELLOW PERCH",2014,"LANGLADE",0.180198093628444,1,2.13130253,1.717,NA,1
184300,"BLACK CRAPPIE",2005,"LANGLADE",5.59235462984826,9,0.621371,0.45,NA,1
184300,"BLUEGILL",2005,"LANGLADE",1.86411820994942,3,0.621371,0.45,NA,1
184300,"YELLOW PERCH",2005,"LANGLADE",4.34960915654865,7,0.621371,0.45,NA,1
187700,"BLACK CRAPPIE",2015,"LANGLADE",4.33718170181565,6,0.53437906,0.583,NA,1
187700,"BLUEGILL",2008,"LANGLADE",146.675034486187,203,0.53437906,0.467,NA,1
187700,"BLUEGILL",2015,"LANGLADE",94.6537089738651,131,0.53437906,0.583,NA,1
187700,"YELLOW PERCH",2008,"LANGLADE",14.4531298544745,20,0.53437906,0.467,NA,1
187700,"YELLOW PERCH",2015,"LANGLADE",0.720792374513776,1,0.53437906,0.583,NA,1
189500,"BLACK CRAPPIE",2015,"SHAWANO",8.97262231722321,13,0.5592339,0.533,NA,1
189500,"BLUEGILL",2015,"SHAWANO",80.7784557644749,117,0.5592339,0.533,NA,1
189500,"YELLOW PERCH",2015,"SHAWANO",0.689723737681286,1,0.5592339,0.533,NA,1
189800,"BLACK CRAPPIE",2000,"PORTAGE",3.72202269253234,3,0.3106855,1,NA,1
189800,"BLACK CRAPPIE",2002,"PORTAGE",0.994196378639691,2,0.77671375,1.067,NA,1
189800,"BLUEGILL",2000,"PORTAGE",294.257273167882,237,0.3106855,1,NA,1
189800,"BLUEGILL",2002,"PORTAGE",24.6063603713323,99,1.5534275,2.234,29.1746245484402,2
189800,"YELLOW PERCH",2000,"PORTAGE",1.24274547329961,1,0.3106855,1,NA,1
189800,"YELLOW PERCH",2002,"PORTAGE",0.497098189319845,2,1.5534275,2.234,0,2
191400,"BLACK CRAPPIE",2004,"LANGLADE",1.57828675109051,3,0.73321778,0.75,NA,1
191400,"BLUEGILL",2004,"LANGLADE",28.4340164290952,54,0.73321778,0.75,NA,1
191400,"YELLOW PERCH",2004,"LANGLADE",8.42581430897138,16,0.73321778,0.75,NA,1
192500,"BLACK CRAPPIE",2008,"LANGLADE",0.77050219344576,1,0.50331051,0.6,NA,1
192500,"BLUEGILL",2008,"LANGLADE",96.6607429132439,126,0.50331051,0.6,NA,1
194000,"BLACK CRAPPIE",2012,"LANGLADE",0.54680800825183,2,1.41672588,1.133,NA,1
194000,"BLUEGILL",2012,"LANGLADE",92.6591024892192,340,1.41672588,1.133,NA,1
194000,"YELLOW PERCH",2012,"LANGLADE",6.54305491692246,24,1.41672588,1.133,NA,1
198100,"BLACK CRAPPIE",2010,"LANGLADE",0.118060819963463,1,3.24977033,2.667,NA,1
198100,"BLUEGILL",2010,"LANGLADE",3.56667950836989,30,3.24977033,2.667,NA,1
198100,"YELLOW PERCH",2010,"LANGLADE",1.06876110703767,9,3.24977033,2.667,NA,1
241100,"BLUEGILL",2001,"PORTAGE",53.4380553518834,43,0.3106855,0.333,NA,1
241100,"YELLOW PERCH",2001,"PORTAGE",6.21372736649807,5,0.3106855,0.333,NA,1
241300,"BLACK CRAPPIE",2016,"SHAWANO",0.608945281916811,3,1.90139526,1.75,NA,1
241300,"BLUEGILL",2016,"SHAWANO",1.42294356692806,7,1.90139526,1.75,NA,1
270200,"BLACK CRAPPIE",2000,"PORTAGE",10.2961462462873,29,1.08739925,0.567,NA,1
270200,"BLACK CRAPPIE",2002,"PORTAGE",3.95193060509277,7,0.6835081,0.367,NA,1
270200,"BLUEGILL",2000,"PORTAGE",62.1372736649807,175,1.08739925,0.567,NA,1
270200,"BLUEGILL",2002,"PORTAGE",14.6892514944014,26,0.6835081,0.367,NA,1
270200,"YELLOW PERCH",2000,"PORTAGE",0.35418245989039,1,1.08739925,0.567,NA,1
287200,"BLUEGILL",2001,"PORTAGE",41.6319733555371,67,0.621371,35.35,NA,1
287200,"YELLOW PERCH",2001,"PORTAGE",1.24274547329961,2,0.621371,35.35,NA,1
299000,"BLACK CRAPPIE",2008,"SHAWANO",0.571662917717822,4,2.70917756,2.133,NA,1
299000,"BLACK CRAPPIE",2013,"SHAWANO",0.285831458858911,2,2.68432272,2.367,NA,1
299000,"BLUEGILL",2008,"SHAWANO",31.7832154796376,223,2.70917756,2.133,NA,1
299000,"BLUEGILL",2013,"SHAWANO",18.6971056457927,130,2.68432272,2.367,NA,1
299000,"YELLOW PERCH",2008,"SHAWANO",8.97883604458971,63,2.70917756,2.133,NA,1
299000,"YELLOW PERCH",2013,"SHAWANO",0.57787664508432,4,2.68432272,2.367,NA,1
302300,"BLACK CRAPPIE",2012,"SHAWANO",1.08118856177066,2,0.71457665,0.583,NA,1
302300,"YELLOW PERCH",2012,"SHAWANO",18.3739918227348,34,0.71457665,0.583,NA,1
305500,"YELLOW PERCH",2013,"SHAWANO",0.776715920812258,2,0.9941936,0.933,NA,1
310500,"BLACK CRAPPIE",2000,"MARATHON",2.06917121304386,9,1.6777017,0.65,NA,1
310500,"BLUEGILL",2000,"MARATHON",71.8058334472517,312,1.6777017,0.65,NA,1
310500,"YELLOW PERCH",2000,"MARATHON",0.689723737681286,3,1.6777017,0.65,NA,1
322500,"BLACK CRAPPIE",2014,"SHAWANO",1.83615643680018,27,4.09483489,3.716,2.07825262220064,2
322500,"BLUEGILL",2014,"SHAWANO",23.1274932581058,182,3.03850419,2.783,NA,1
322500,"YELLOW PERCH",2014,"SHAWANO",3.30570295897697,26,3.03850419,2.783,NA,1
322600,"BLACK CRAPPIE",2010,"SHAWANO",0.0994196378639691,1,3.86492762,3.367,NA,1
322600,"BLUEGILL",2010,"SHAWANO",1.69634757105397,17,3.86492762,3.367,NA,1
322600,"YELLOW PERCH",2010,"SHAWANO",0.801570830278251,8,3.86492762,3.367,NA,1
322800,"BLACK CRAPPIE",2006,"SHAWANO",5.99003318130414,53,3.4175405,2.5,NA,1
322800,"BLACK CRAPPIE",2010,"SHAWANO",1.08740228913716,14,4.970968,4.117,NA,1
322800,"BLACK CRAPPIE",2012,"SHAWANO",3.33677159580946,19,2.19965334,1.567,NA,1
322800,"BLACK CRAPPIE",2014,"SHAWANO",0.0807784557644749,1,4.970968,4.425,NA,1
322800,"BLUEGILL",2006,"SHAWANO",22.8230206171474,202,3.4175405,2.5,NA,1
