"WBIC","surveyYear","PE","Density"
2329600,2004,1664,6.072992701
2128100,2012,3035,3.613095238
2953800,1995,362,1.699530516
2953800,1996,308,1.44600939
2953800,1997,814,3.821596244
2953800,1999,990,4.647887324
2953800,2003,304,1.427230047
2953800,2009,455,2.136150235
2953800,2011,622,2.920187793
2953800,2015,1273,5.976525822
2953800,2017,520,2.441314554
968800,1991,4453,11.18844221
968800,2006,1880,4.72361809
968800,2015,1078,2.708542714
417400,2011,459,1.167938931
2734000,2015,156,0.886363636
2620600,1987,3845,1.871957157
2112800,2016,552,1.871186441
2451900,1993,1104,5.872340426
2451900,1995,2294,12.20212766
2451900,1996,2013,10.70744681
2451900,1998,911,4.845744681
2451900,1999,775,4.122340426
2451900,2000,993,5.281914894
2451900,2001,865,4.60106383
2451900,2002,702,3.734042553
2451900,2003,609,3.239361702
2451900,2004,1104,5.872340426
2451900,2005,987,5.25
2451900,2006,722,3.840425532
2451900,2007,625,3.324468085
2451900,2008,653,3.473404255
2451900,2009,719,3.824468085
2451900,2010,734,3.904255319
2451900,2011,649,3.45212766
2451900,2012,754,4.010638298
2451900,2013,1268,6.744680851
2451900,2014,1302,6.925531915
2451900,2015,909,4.835106383
2451900,2016,453,2.409574468
2451900,2017,477,2.537234043
1523600,1990,2696,6.74
1523600,2000,3076,7.69
1523600,2002,2984,7.46
1523600,2004,7467,18.6675
1523600,2006,3787,9.4675
1523600,2008,4349,10.8725
1523600,2010,4039,10.0975
1523600,2012,3946,9.865
1523600,2014,6863,17.1575
1523600,2015,3571,8.9275
1523600,2016,3621,9.0525
1545600,1986,12003,11.01192661
1545600,1993,9864,9.049541284
1545600,1996,5793,5.314678899
1545600,1998,5329,4.888990826
1545600,2001,8114,7.444036697
1545600,2005,6860,6.293577982
1545600,2008,6290,5.770642202
1545600,2011,8515,7.811926606
1545600,2014,8253,7.571559633
2338800,1993,2921,4.282991202
2338800,1994,4141,6.071847507
2338800,1995,5156,7.560117302
2338800,1996,4922,7.217008798
2338800,1997,4371,6.409090909
2338800,1998,4425,6.488269795
2338800,1999,2653,3.890029326
2338800,2002,2042,2.994134897
2338800,2003,2049,3.004398827
2338800,2006,1301,1.907624633
2338800,2007,1724,2.527859238
2338800,2008,1898,2.782991202
2338800,2009,1758,2.57771261
1610700,1994,2499,3.62173913
1610700,2007,4040,5.855072464
1613000,1994,3072,3.551445087
2334700,1990,2857,3.421556886
2334700,2001,2631,3.150898204
2334700,2006,2428,2.907784431
2334700,2013,2927,3.505389222
2963800,1999,4480,5.810635538
2963800,2014,7814,10.13488975
2706800,1990,3880,3.274261603
2706800,1996,2327,1.96371308
1835300,1989,4719,5.074193548
1835300,1991,8014,8.617204301
1835300,1996,4631,4.979569892
1835300,2005,3265,3.510752688
1835300,2011,8235,8.85483871
1835300,2013,5396,5.802150538
1835300,2016,3634,3.907526882
1629500,2006,3186,4.993730408
1629500,2012,2359,3.697492163
1629500,2016,3244,5.084639498
2627400,1991,2012,1.98226601
1602600,1989,1506,1.062059238
1591100,1986,5693,3.520717378
1591100,1992,3482,2.153370439
1591100,1994,4558,2.818800247
1591100,2006,8203,5.072974644
1591100,2011,4843,2.995052566
1591100,2017,2908,1.798392084
1612200,1994,1513,2.760948905
1612200,2007,1400,2.554744526
2311100,1990,584,1.106060606
2742500,2016,231,1.209424084
418700,1996,547,2.327659574
418700,2016,248,1.055319149
2338300,1995,2282,4.354961832
2338300,1999,2796,5.335877863
2338300,2006,2255,4.303435115
2338300,2013,2028,3.870229008
2272600,1991,1988,3.135646688
2272600,1992,3684,5.810725552
2272600,1995,5948,9.38170347
2272600,2006,3964,6.252365931
2903800,2010,203,2.03
692400,1988,5174,4.004643963
692400,1989,4766,3.688854489
2283300,1990,1999,1.987077535
692400,1991,2134,1.651702786
692400,1992,6721,5.202012384
692400,1993,5997,4.641640867
692400,1994,4803,3.71749226
692400,1995,3644,2.820433437
2283300,1996,4165,4.140159046
692400,1996,3416,2.643962848
692400,1997,6525,5.050309598
692400,1998,5138,3.976780186
692400,1999,4395,3.401702786
692400,2000,3981,3.08126935
692400,2001,2740,2.120743034
692400,2002,2106,1.63003096
692400,2003,1625,1.257739938
692400,2004,1703,1.318111455
692400,2006,1073,0.830495356
692400,2008,1195,0.924922601
692400,2009,8528,6.600619195
692400,2010,6953,5.381578947
692400,2011,5631,4.358359133
692400,2012,5301,4.102941176
692400,2013,4475,3.463622291
692400,2014,3509,2.715944272
2283300,2014,6630,6.590457256
692400,2015,2470,1.911764706
692400,2016,2432,1.882352941
692400,2017,1992,1.541795666
1544800,1990,997,2.832386364
1603700,1993,2977,2.941699605
1603700,2013,5082,5.02173913
2615100,2013,3768,3.425454545
2350500,1995,1771,3.784188034
977500,1990,1970,2.328605201
2329000,1993,1987,3.58018018
977500,1996,3093,3.656028369
2329000,1999,1616,2.911711712
977500,2000,3241,3.830969267
2329000,2004,1576,2.83963964
977500,2005,2096,2.477541371
977500,2012,1897,2.242316785
2953500,1993,1825,1.923076923
2953500,2002,2602,2.741833509
2953500,2012,1757,1.85142255
1603800,1993,2969,3.105648536
1564200,1989,4323,7.06372549
1564200,1992,2410,3.937908497
1564200,2000,2598,4.245098039
1564200,2006,2242,3.663398693
1564200,2010,3526,5.761437908
1564200,2015,4501,7.354575163
1596900,1990,2627,3.530913978
1596900,1997,2556,3.435483871
1596900,2005,2127,2.858870968
2316600,2015,166,0.558922559
1600200,1993,2259,3.949300699
1600200,2000,2855,4.991258741
1579700,2001,2004,3.968316832
1579700,2005,426,0.843564356
1579700,2011,865,1.712871287
1579700,2015,1303,2.58019802
2339900,1994,3566,12.17064846
2339900,1995,1179,4.023890785
2339900,1996,1002,3.419795222
2339900,1997,2864,9.774744027
2339900,1998,2493,8.508532423
2339900,1999,1455,4.965870307
2339900,2000,1518,5.180887372
2339900,2001,1804,6.156996587
2339900,2002,1088,3.71331058
2339900,2003,847,2.890784983
2339900,2004,835,2.849829352
2339900,2005,1756,5.993174061
2339900,2006,2191,7.4778157
2339900,2007,3244,11.07167235
2339900,2008,2335,7.969283276
2339900,2009,2313,7.894197952
2339900,2010,2581,8.80887372
2339900,2013,2359,8.051194539
2339900,2014,2903,9.907849829
2339900,2015,2968,10.12969283
2339900,2016,1895,6.467576792
2343200,1993,1853,5.632218845
2762200,2006,2486,5.334763948
2762200,2013,1513,3.246781116
692900,1991,3077,3.44955157
692900,1994,2101,2.355381166
692900,1997,1834,2.056053812
692900,2002,528,0.591928251
692900,2012,247,0.27690583
692900,2013,248,0.278026906
1569600,2007,2120,4.873563218
2391200,1994,3847,1.236579878
2391200,2000,3682,1.183542269
2391200,2003,6655,2.139183542
2391200,2006,3500,1.12504018
2391200,2009,5891,1.893603343
2391200,2012,4439,1.426872388
2391200,2015,7383,2.3731919
